Source,Kepid,KepoiName,KeplerName,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,gif,nasa_url,educational_summary
KOI,8081187,K01951.01,Kepler-1025 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,https://detwet.com/gifs/koi/8081187.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1025_b,"A well-characterized sub-Neptune (~2.27× Earth; ~8.9 Earth masses) in a multi-planet system, completing an orbit every ~16.15 days. Confirmed with imaging and Doppler spectroscopy (2014), it is ideal for lessons on joint photometry-RV validation, impact parameter and limb darkening, and how precise masses constrain interior composition."
KOI,8164012,K02116.01,Kepler-1106 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/8164012.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1106_b,"A warm sub-Neptune (~2.8× Earth, with sizeable uncertainties) orbiting every ~42.30 days. Kepler validated it in 2016; the sizable error bars make it ideal for teaching parameter inference, stellar-radius uncertainties, and how those propagate into planet radius and density estimates."
KOI,8233702,K02140.01,Kepler-1116 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/8233702.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1116_b,"Details for this target could not be retrieved from the source record, so parameters are limited. It is likely listed in major archives, but the gap itself is instructive: evolving catalogs, changed identifiers, or removed entries can leave placeholders. Use it to discuss data curation, cross-matching names (KOI/KIC/Gaia), and how scientists confirm or retire candidates."
KOI,8395660,K00116.02,Kepler-106 e,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/8395660.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-106_e,"A warm super-Earth (~1.98× Earth) whipping around a Sun-like star (~6067 K) every ~2.758 days. Validated from Kepler transits in 2016 with low false-positive probability, it exemplifies short-period rocky/mini-Neptune-size planets. Its high irradiation and frequent transits suit discussions of tidal locking and photometric signal stacking."
KOI,8559644,K00139.02,Kepler-111 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/8559644.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-111_b,"A sub-Neptune (~2.5× Earth) on a ~41.70-day orbit around a slightly cooler-than-Sun star (~5641 K). Detected and validated by Kepler in 2016, it sits at moderate irradiation where envelope retention is plausible. Its regular transits support equilibrium-temperature and scale-height comparisons across warm mini-Neptunes."
KOI,8559644,K00139.01,Kepler-111 c,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/8559644.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-111_c,"A Neptune-to-sub-Saturn-size world (~7.5× Earth) with a comparatively long ~224.78-day orbit. Confirmed by Kepler (2014), it expands beyond the mission’s typical short-period yield. Its longer period is useful for illustrating survey completeness limits and how fewer transits increase validation difficulty."
KOI,9006186,K02169.03,Kepler-1130 d,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9006186.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1130_d,"A temperate sub-Neptune (~2.35× Earth) on a ~62.89-day orbit ~2,902 light-years away. Detected by Kepler transits and validated in 2016, it helps fill in longer-period small planets within the mission’s sensitivity window. Its cooler irradiation regime is ideal for discussing atmospheric retention and scale heights."
KOI,9072190,K01933.01,Kepler-1018 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9072190.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1018_b,"A warm sub-Neptune (~2.58× Earth) with a ~49.10-day year around a Sun-like star (~5518 K) ~3,392 light-years away. Detected by Kepler transits and validated in 2016, it helps bridge the population between rocky super-Earths and Neptune-like worlds. Its longer period within Kepler’s yield shows how survey baselines govern sensitivity to cooler planets."
KOI,9205938,K02162.02,Kepler-1126 c,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,https://detwet.com/gifs/koi/9205938.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1126_c,"A warm sub-Neptune (~3.0× Earth) with a ~24.34-day period in a two-planet system ~3,994 light-years away. Validated from Kepler transits (2016), it’s squarely in the populous mid-size class. The multi-planet context invites TTV checks, resonance exploration, and comparative estimates of irradiation among siblings."
KOI,9349482,K02020.01,Kepler-1058 b,CONFIRMED,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9349482.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1058_b,"A sub-Neptune (~2.9× Earth) in a three-planet system, orbiting every ~5.41 days. Initially a candidate, it was statistically validated (>99% confidence) and remains unlikely to be a false positive. The compact architecture invites lessons on system dynamics, resonance proximity, and how multi-planet contexts reduce false-positive rates."
KOI,9353314,K01900.01,Kepler-1007 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9353314.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1007_b,"A close-in super-Earth (~1.43× Earth’s radius) that circles a cool K-dwarf (~4587 K) every ~5.185 days. Discovered by Kepler via the transit method and validated in the May 2016 release, it has a very low false-positive probability. Its short year and small size make it a clean example for teaching transit depth, irradiation-driven atmosphere loss, and why compact, close-in rocky worlds are common in Kepler data."
KOI,9471974,K00119.01,Kepler-108 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9471974.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-108_b,"A near-Earth-size planet (~1.11× Earth) on a ~2.053-day orbit around a hotter-than-Sun star (~6113 K). Kepler discovered and validated it in 2016. Its small size and short period highlight the detectability of USPs and provide a clean case for discussions of tidal locking, irradiation, and the limits of atmosphere survival on hot rocky worlds."
KOI,9473078,K02079.01,Kepler-1087 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,https://detwet.com/gifs/koi/9473078.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1087_b,"A large warm Neptune/sub-Saturn (~6.6× Earth; ~98 Earth masses) with a ~49.18-day orbit in a binary system; the planets circle the fainter star and have high mutual inclinations. Confirmed via transits and dynamics, it’s superb for discussing S-type planets in binaries, eccentricity excitation, and constraints from long-baseline Kepler photometry."
KOI,9579641,K00115.01,Kepler-105 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9579641.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-105_b,"A temperate sub-Neptune (~2.72× Earth) with a relatively long ~110.97-day year around a cool K-dwarf (~4644 K). Found by Kepler transits (2016), it highlights survey completeness limits for long-period small planets. The cooler host and longer orbit make it a good case for comparing irradiation histories and atmospheric escape thresholds."
KOI,9790806,K02035.01,Kepler-1066 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/9790806.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1066_b,"A sub-Neptune (~2.6× Earth; ~10 Earth masses) orbiting in ~13.57 days within a four-planet system confirmed with imaging and Doppler (2014). The measured mass allows density estimates, making it a strong case for interior modeling and volatile-envelope fractions. The system context also supports TTV explorations and resonance checks."
KOI,10187017,K00082.04,Kepler-102 c,CANDIDATE,CONFIRMED,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/10187017.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-102_c,"A compact sub-Neptune (~2.33× Earth) on a ~13.47-day orbit ~2,703 light-years away. Discovered by Kepler’s transit method and validated in 2016, it exemplifies the dominant class of close-in mid-size planets. The period yields ample events for phase folding, making it useful for classroom exercises on signal-to-noise scaling."
KOI,10190777,K01937.01,Kepler-1019 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/10190777.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1019_b,"An ultra-short-period super-Earth (~1.46× Earth) zipping around a cool K-dwarf (~4433 K) every ~1.411 days. Kepler detected it via transits; the 2016 validation indicates a very low false-positive chance. Its day-length year invites discussion of tidal locking, intense irradiation, and the detectability of frequent, shallow transits."
KOI,10857519,K02075.01,Kepler-1084 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/10857519.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1084_b,"A sub-Earth-size USP (~0.61× Earth) completing orbits in just ~0.694 days (~16.7 hours) around a Sun-like star (~5589 K). Validated by Kepler (2016), it’s excellent for lessons on detection of tiny transit depths, extreme irradiation, and how occurrence rates extend into the sub-Earth regime at ultra-short periods."
